Sample ID,Location,DateTime Taken,,,,,,,,,,,
08-16-CKS-1,Maui College,8/16/2023 8:15,,,,,,,,,,,
08-16-CKS-2, kulalani,8/16/2023 9:30,,,,,,,,,,,
08-16-CKS-3, Ainakula,8/16/2023 10:52,,,,,,,,,,,
08-16-CKS-4, Ainakula,8/16/2023 11:11,,,,,,,,,,,
08-16-CKS-5, Ainakula filtered,8/16/2023 11:30,,,,,,,,,,,
08-16-CKS-6, Ainakula rd ,8/16/2023 12:00,,,,,,,,,,,
08-16-CKS-7, kulalani,8/16/2023 12:22,,,,,,,,,,,
08-16-CKS-8, Anuinui,8/16/2023 12:53,,,,,,,,,,,
08-16-CKS-10, malia iokepa,8/16/2023 2:24,,,,,,,,,,,
08-16-CKS-11, homestead,8/16/2023 2:55,,,,,,,,,,,
08-16-CKS-12, west k,8/16/2023 3:46,,,,,,,,,,,
08-23-CKS-21A, kulalani,8/23/2023 10:50,,,,,,,,,,,
08-23-CKS-21B, kulalani,8/23/2023 11:09,,,,,,,,,,,
08-23-CKS-22, leihulu,8/23/2023 14:12,,,,,,,,,,,
08-23-CKS-23,NA,8/23/2023 14:41,,,,,,,,,,,
08-23-CKS-Chris Blank,Nature Center Kula (noone there),8/23/2023,,,,,,,,,,,
08-25-CKS-31, kulalani,8/25/2023 12:54,,,,,,,,,,,
08-25-CKS-32, ainakula,8/25/2023 13:04,,,,,,,,,,,
08-25-CKS-33, ainakula,8/25/2023 13:04,,,,,,,,,,,
08-25-CKS-34, ainakula,8/25/2023 13:04,,,,,,,,,,,
08-25-CKS-35, kulalani Dr,8/25/2023 13:04,,,,,,,,,,,
08-29-CKS-41, Mauna place ,8/29/2023 9:43,,,,,,,,,,,
08-29-CKS-42, Kula hwy,8/29/2023 10:47,,,,,,,,,,,
08-29-CKS-43, Piilani Hwy ,8/29/2023 11:18,,,,,,,,,,,
08-29-CKS-44," Piilani Hwy, Kula, HI ",8/29/2023 11:30,,,,,,,,,,,
08-29-CKS-51, Upu Pl,8/29/2023 11:08,,,,,,,,,,,
08-29-CKS-52, Kaui Pl,8/29/2023 11:42,,,,,,,,,,,
08-29-CKS-53, upper kimo,8/29/2023 12:12,,,,,,,,,,,
08-29-CKS-54, Haleakala HWY,8/29/2023 13:57,,,,,,,,,,,
08-29-CKS-55, Upper Kimo Dr,8/29/2023 14:14,,,,,,,,,,,
8-30-23-kellie-1, haleakala hwy ,8/30/2023 11:53,,,,,,,,,,,
8-30-23-kellie-2, haleakala hwy,8/30/2023 12:37,,,,,,,,,,,
8-30-23-kellie-3, Haleakala Hwy kula hi  United States,8/30/2023 12:41,,,,,,,,,,,
8-30-23-kellie-4, haleakala hwy,8/30/2023 13:36,,,,,,,,,,,
8-30-23-kellie-6, pulehuiki rd,8/30/2023 19:07,,,,,,,,,,,
A-1," Anuenue Place, Kula ",8/19/2023,,,,,,,,,,,
B-1," Kulalani Drive, ",8/19/2023,,,,,,,,,,,
C-1," Holomakani Place, Kula, ",8/20/2023 12:17,,,,,,,,,,,
D-1," Kai Nana Place, Kula ",8/20/2023 13:12,,,,,,,,,,,
E-1-A," Kai Nana Place, Kula, ",8/20/2023 14:00,,,,,,,,,,,
F-1, Olinda Road,8/20/2023 15:53,,,,,,,,,,,
G-1,Nature Center Kula (noone there),8/20/2023 16:12,,,,,,,,,,,
H-1,White House Outdoor Sink (noone there),8/21/2023 16:22,,,,,,,,,,,
S-1," North Hopoe, Lahania, ",8/21/2023 14:55,,,,,,,,,,,
T-1," Lower Kula Road, ",8/21/2023 7:54,,,,,,,,,,,
U-1," West Aipuni Place, ",8/21/2023 16:19,,,,,,,,,,,
V-1," Wahinoho Way, ",8/21/2023 16:53,,,,,,,,,,,
W-1," Kai Nana Place, Kula, ",8/20/2023 20:44,,,,,,,,,,,
X-1," Chelo Place, ",8/20/2023,,,,,,,,,,,
Z-1," Makanoe Place, ",8/20/2023,,,,,,,,,,,
Th-1," Thompson Road, Kula,",,,,,,,,,,,,
Oprah,(Oprah- and Oprah- are duplicates),,,,,,,,,,,,
Mid Tank 1st drain,Kula Ranch near Kula Lodge (with goats) ( samples) ,,,,,,,,,,,,
Mid Tank 2nd drain,Kula Ranch near Kula Lodge (with goats) ( samples) ,,,,,,,,,,,,
Well-1,Kula Ranch near Kula Lodge (with goats) ( samples) ,8/27/2023,,,,,,,,,,,
Well-2,Kula Ranch near Kula Lodge (with goats) ( samples) ,8/27/2023,,,,,,,,,,,
09-01-CKS-61," Liloa St, Lahaina",9/1/2023 16:19,,,,,,,,,,,
09-01-CKS-62," Kuialua St, Lahaina,",9/1/2023 16:30,,,,,,,,,,,
09-01-CKS-63,"Launiupoko ., -.",9/1/2023 17:03,,,,,,,,,,,
09-01-CKS-64,"Launiupoko ., -.",9/1/2023 17:07,,,,,,,,,,,
9-8-KDP-1, Kai Nana Pl,9/8/2023 14:23,,,,,,,,,,,
9-8-KDP-2, Kai Nana Pl,9/8/2023 14:33,,,,,,,,,,,
9-8-KDP-3, Kai Nana Pl,9/8/2023 14:52,,,,,,,,,,,
9-8-KDP-4, Kai Nana Pl,9/8/2023 15:10,,,,,,,,,,,
09-11-KDP-2, Lower Kula rd Kula HI ,9/11/2023 16:16,,,,,,,,,,,
09-08-KDP-3, Mauna Pl kula hi  United States,9/11/2023 16:32,,,,,,,,,,,
9-12-CKS-1, Hanohano st ,9/12/2023 12:22,,,,,,,,,,,
9-12-CKS-2, hanohano st ,9/12/2023 12:38,,,,,,,,,,,
9-12-CKS-3 ," West Aipuni Place, Lahaina, HI",9/12/2023 12:59,,,,,,,,,,,
9-12-CKS-4," Ainakea st. Lahaina, HI",9/12/2023 13:10,,,,,,,,,,,
09-12-KDP-1, Lower Kula Road,9/12/2023 13:02,,,,,,,,,,,
09-12-KDP-2, Kawalea Pl Kula HI  United States,9/12/2023 13:42,,,,,,,,,,,
9-14-Cks-1," keawe, suite  Lahaina ",9/14/2023 12:02,,,,,,,,,,,
9-14-CKS-2 , liloa st Lahaina ,9/14/2023 12:29,,,,,,,,,,,
9-14-Cks-3, W Aipuni ,9/14/2023 13:07,,,,,,,,,,,
9-14-CKS-4, Wahinoho Way Lahaina ,9/14/2023 13:21,,,,,,,,,,,
9-14-Cks-5, whinoho wy,9/14/2023 14:23,,,,,,,,,,,
09-14-Cks-6, w Aipuni pl. ,9/14/2023 14:55,,,,,,,,,,,
09-14-JJ-1, Hoopalua st,9/14/2023 15:56,,,,,,,,,,,
09-14-JJ-2, lower Kula ,9/14/2023 15:59,,,,,,,,,,,
9-14-CKS-9, Whinoho way,9/14/2023 16:44,,,,,,,,,,,
09-14-JJ-3, Mano dr,9/14/2023 17:26,,,,,,,,,,,
09-14-JJ-4, Mano dr,9/14/2023 17:27,,,,,,,,,,,
