Sample ID,SampleType,DateTime Taken,Post Results,Public X,Public Y,Chloromethane (methyl chloride),Chloroethene (vinyl chloride),Bromomethane (methyl bromide),Chloroethane (ethyl chloride),Trichlorofluoromethane,Diethyl ether,"1,1-Dichloroethene",Acetone,Iodomethane,Carbon disulfide,3-Chloropropene (allyl chloride),Methylene chloride (DCM),"trans-1,2-Dichloroethene",Methyl tert-butyl ether (MTBE),"1,1-Dichloroethane","2,2-Dichloropropane","cis-1,2-Dichloroethene",2-Butanone (MEK),Methyl acrylate,Methacrylonitrile,Bromochloromethane,Tetrahydrofuran,Trichloromethane (chloroform),"1,1,1-Trichloroethane",1-Chlorobutane (butyl chloride),Carbon tetrachloride,"1,1-Dichloropropene",Benzene,"1,2-Dichloroethane",Trichloroethene,"1,2-Dichloropropane",Dibromomethane,Methyl methacrylate,Bromodichloromethane,2-Nitropropane,"cis-1,3-Dichloropropene",4-Methyl-2-pentanone (MIBK),Toluene,"trans-1,3-Dichloropropene",Ethyl methacrylate,"1,1,2-Trichloroethane",Tetrachloroethene,"1,3-Dichloropropane",2-Hexanone,Dibromochloromethane,"1,2-Dibromoethane (EDB)",Chlorobenzene,"1,1,1,2-Tetrachloroethane",Ethylbenzene,m/p-Xylene,o-Xylene,Styrene,Bromoform,Isopropylbenzene (cumene),Bromobenzene,"1,1,2,2-Tetrachloroethane","1,2,3-Trichloropropane (TCP)","trans-1,4-Dichloro-2-butene",n-Propylbenzene,2-Chlorotoluene,"1,3,5-Trimethylbenzene",4-Chlorotoluene,tert-Butylbenzene,Pentachloroethane,"1,2,4-Trimethylbenzene",1-Methylpropylbenzene (sec-butylbenzene),"1,3-Dichlorobenzene",4-Isopropyltoluene (p-cymene),"1,4-Dichlorobenzene",n-Butylbenzene,"1,2-Dichlorobenzene",Hexachloroethane,"1,2-Dibromo-3-chloropropane (DBCP)",Nitrobenzene,"1,2,4-Trichlorobenzene","Hexachloro-1,3-butadiene",Naphthalene,"1,2,3-Trichlorobenzene",SampleType_clean,Total trihalomethanes (TTHMs)
08-16-CKS-2,Tap Water,2023-08-16 09:30:00,,-156.31469891295163,20.778645083401813,,,,,,,,,,,,2.815,,,,,,,,,,,12.956,,,,,,,,,,,5.961,,,,,,,,,,,3.342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tap water,22.259
08-16-CKS-3,Tap Water,2023-08-16 10:52:00,,-156.30723261533666,20.776296164252052,,,,,,,,,,,,2.842,,,,,,,,,,,12.685,,,,,,,,,,,6.285,,,,,,,,,,,3.833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tap water,22.803
08-16-CKS-4,Tap Water,2023-08-16 11:11:00,,-156.30764237816408,20.77818789164569,,,,,,,,,,,,2.748,,,,,,,,,,,11.782,,,,,,,,,,,6.171,,,,,,,,,,,3.699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tap water,21.652
08-16-CKS-6,Tap Water,2023-08-16 12:00:00,,-156.31040295282406,20.77822392203184,,,,,,,,,,,,2.868,,,,,,,,,,,21.092,,,,,,,,,,,6.923,,,,,,,,,,,3.621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tap water,31.636
08-16-CKS-7,Tap Water,2023-08-16 12:22:00,,-156.31280671413953,20.77297929808723,,,,,,,,17.367,,3.145,,2.778,,,,,,14.842,,,,194.634,2.209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tap water,2.209
08-16-CKS-8,Tap Water,2023-08-16 12:53:00,,-156.31013471014137,20.77842432302931,,,,,,,,,,,,2.821,,,,,,,,,,3.004,17.53,,,,,,,,,,,7.944,,,,,,,,,,,4.235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tap water,29.709000000000003
08-16-CKS-10,Tap Water,2023-08-16 02:24:00,,-156.3255345659279,20.743648971143,,,,,,,,,,,,2.74,,,,,,,,,,,28.868,,,,,,,,,,,8.54,,,,,,,,,,,3.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tap water,41.388
08-16-CKS-11,Tap Water,2023-08-16 02:55:00,,-156.31407983887385,20.75240710015802,,,,,,,,,,,,2.829,,,,,,,,,,,22.495,,,,,,,,,,,7.962,,,,,,,,,,,4.009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tap water,34.466
08-16-CKS-12,Tap Water,2023-08-16 03:46:00,,-156.30701676515113,20.906158164335228,,,,,,,,,,,,2.827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tap water,0.0
08-23-CKS-21A,Tap Water,2023-08-23 10:50:00,,-156.30964496202753,20.776768616378423,,,,,,,,18.3558,,3.0291,,,,,,,,10.5283,,,,216.9879,1.6109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tap water,1.6109
08-23-CKS-22,Tap Water,2023-08-23 14:12:00,,-156.31761556988943,20.77876844097118,,,,,,,,8.8989,,,,,,,,,,,,,,,25.3836,,,,,,,,,,,6.2686,,,,,,,,,,,2.3578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tap water,34.010000000000005
08-23-CKS-23,Tap Water,2023-08-23 14:41:00,,-156.30859768359937,20.77654977077379,,,,,,,,8.9012,,,,,,,,,,,,,,,26.4337,,,,,,,,,,,7.1684,,,,,,,,,,,2.7733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tap water,36.3754
08-25-CKS-32,Tap Water,2023-08-25 13:04:00,,-156.30570076292136,20.778209646102823,,,,,,,,18.889,,,,1.5702,,,,,,,,,,,23.8827,,,,,,,,,,,4.624,,,,,,,,,,,1.282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tap water,29.7887
08-25-CKS-33,Tap Water,2023-08-25 13:04:00,,-156.3115401051288,20.77578801188423,,,,,,,,15.3631,,,,1.4309,,,,,,,,,,,27.1288,,,,,,,,,,,5.8192,,,,,,,,,,,1.8606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tap water,34.8086
08-25-CKS-35,Tap Water,2023-08-25 13:04:00,,-156.31115321340943,20.77558837699292,,,,,,,,10.9497,,,,1.8244,,,,,,,,,,,33.4709,,,,,,,,,,,4.6644,,,,,,,,,,,1.2138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tap water,39.3491
08-29-CKS-41,Tap Water,2023-08-29 09:43:18,,-156.3239285627463,20.756423706704744,,,,,,,,41.9139,,,,,,,,,,,,,,,50.3204,,,,,,,,,,,7.7174,,,,,,,,,,,2.0564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tap water,60.0942
08-29-CKS-42,Tap Water,2023-08-29 10:47:24,,-156.3953591890796,20.66732530390446,,,,,,,,47.4081,,,,,,,,,,,,,,,41.1086,,,,,,,,,,,7.8614,,,,,,,,,,,2.3398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tap water,51.3098
08-29-CKS-43,Tap Water,2023-08-29 11:18:46,,-156.4017198278236,20.646563537683747,,,,,,,,,,,,,,,,,,,,,,,41.8076,,,,,,,,,,,8.6972,,,,,,,,,,,2.8638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tap water,53.3686
08-29-CKS-51,Tap Water,2023-08-29 11:08:27,,-156.29945176857245,20.775928358486365,,,,,,,,4.658,,,,,,,,,,,,,,,29.6559,,,,,,,,,,,6.8627,,,,,,,,,,,2.2813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tap water,38.7999
08-29-CKS-52,Tap Water,2023-08-29 11:42:43,,-156.3047802309504,20.774647602054767,,,,,,,,33.5458,,,,,,,,,,,,,,,47.8843,,,,,,,,,,,6.6847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tap water,54.569
08-29-CKS-53,Tap Water,2023-08-29 12:12:37,,-156.30617947878682,20.777922408766575,,,,,,,,6.8464,,,,,,,,,,,,,,,24.1796,,,,,,,,,,,4.4572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tap water,28.6368
08-29-CKS-54,Tap Water,2023-08-29 13:57:27,,-156.30543250157348,20.77435692521912,,,,,,,,7.4621,,,,,,,,,,,,,,,26.5723,,,,,,,,,,,6.84,,,,,,,,,,,2.3281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tap water,35.740399999999994
08-29-CKS-55,Tap Water,2023-08-29 14:14:22,,-156.30680592202287,20.777417993185455,,,,,,,,21.6226,,,,,,,,,,,,,,,31.8395,,,,,,,,,,,7.3367,,,,,,,,,,,2.4234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tap water,41.5996
8-30-23-KELLIE-1,Tap Water,2023-08-30 11:53:07,,-156.30383261399362,20.77120800680773,,,,,,,,6.1419,,,,,,,,,,,,,,,38.214,,,,,,,,,,,4.1027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tap water,42.3167
8-30-23-KELLIE-2,Tap Water,2023-08-30 12:37:22,,-156.30182353931025,20.768984618953457,,,,,,,,29.518,,,,,,,,,,,,,,,28.7934,,,,,,,,,,,3.7561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tap water,32.549499999999995
8-30-23-KELLIE-3,Tap Water,2023-08-30 12:41:14,,-156.30033227201872,20.770398716644124,,,,,,,,87.7429,,,,,,,,,,,,,,,86.2655,,,,,,,,,,,6.8312,,,,,,,,,,,2.1405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tap water,95.2372
8-30-23-KELLIE-4,Tap Water,2023-08-30 13:36:05,,-156.30332044794753,20.76956820897769,,,,,,,,15.4507,,,,,,,,,,4.9808,,,,2.2292,52.5739,,,,,,,,,,,8.0327,,,,,,,,,,,2.0798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tap water,62.686400000000006
8-30-23-KELLIE-6,Tap Water,2023-08-30 19:07:32,,-156.31710936977825,20.769876611400647,,,,,,,,90.5958,,,,,,,,,,,,,,,47.9583,,,,,,,,,,,5.3901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tap water,53.3484
09-01-CKS-61,Tap Water,2023-09-01 16:19:07,,-156.66535372110286,20.886045611526097,,,,,,,,,,,,,,,,,,,,,,,10.7601,,,,,,,,,,,2.4732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tap water,13.2333
09-01-CKS-62,Tap Water,2023-09-01 16:30:58,,-156.66687483805796,20.888697623742104,,,,,,,,,,,,,,,,,,,,,1.0367,,19.2347,,,,,,,,,,,7.7422,,,,,,,,,,,3.2617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tap water,30.238599999999998
09-01-CKS-63,Tap Water,2023-09-01 17:03:11,,-156.66104364245302,20.85374190326415,,,,,,,,150.2532,,,,,,,,,,282.9737,,,,189.7993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.9081,,,,,,,,,,,,,,,,,,,,,,,,,,tap water,5.9081
9-1-23-KELLIE-1,Tap Water,2023-09-01 13:22:42,,-156.36197529533146,20.714010676968943,,,,,,,,94.3832,,,,,,,,,,,,,,,43.7588,,,,,,,,,,,8.6495,,,,,,,,,,,2.5453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tap water,54.9536
9-1-23-KELLIE-2,Tap Water,2023-09-01 14:54:50,,-156.30427233309058,20.768343663428936,,,,,,,,18.6133,,,,,,,,,,,,,,,22.0473,,,,,,,,,,,4.981,,,,,,,,,,,2.0491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tap water,29.0774
9-1-23-KELLIE-3,Tap Water,2023-09-01 14:57:00,,-156.29867162586925,20.77288819518343,,,,,,,,28.1821,,,,,,,,,,,,,,,55.0339,,,,,,,,,,,8.7142,,,,,,,,,,,2.7772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tap water,66.5253
9-8-KDP-1,Tap Water,2023-09-08 14:23:33,,-156.33023567110683,20.76321620406952,,,,,,,,7.6458,,,,,,,,,,,,,,,47.9921,,,,,,,,,,,8.4607,,,,,,,,,,,2.7339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tap water,59.1867
9-8-KDP-2,Tap Water,2023-09-08 14:33:14,,-156.32955429109327,20.763600870265837,,,,,,,,18.2349,,,,,,,,,,,,,,,31.3874,,,,,,,,,,,4.4183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tap water,35.8057
9-8-KDP-3,Tap Water,2023-09-08 14:52:54,,-156.329598909894,20.762511700823868,,,,,,,,20.3123,,,,,,,,,,,,,,,32.4315,,,,,,,,,,,7.4795,,,,,,,,,,,2.6985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tap water,42.6095
9-8-KDP-4,Tap Water,2023-09-08 15:10:00,,-156.32580478509743,20.76195785933596,,,,,,,,33.6507,,,,,,,,,,,,,,,34.4919,,,,,,,,,,,7.7328,,,,,,,,,,,2.8487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tap water,45.0734
09-11-KDP-1,Tap Water,2023-09-11 13:50:00,,,,,,,,,,,24.9456,,,,,,,,,,,,,,,20.0432,,,,,,,,,,,3.6099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tap water,23.6531
09-11-KDP-2,Tap Water,2023-09-11 16:16:39,,-156.32416114668587,20.761363877515528,,,,,,,,42.3797,,,,,,,,,,,,,,,37.7502,,,,,,,,,,,7.1232,,,,,,,,,,,2.6906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tap water,47.564
09-11-KDP-3,Tap Water,2023-09-11 16:32:46,,-156.3222480985512,20.75611523946506,,,,,,,,51.1349,,,,,,,,,,,,,,,22.5192,,,,,,,,,,,6.7336,,,,,,,,,,,3.3846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tap water,32.6374
9-12-CKS-1,Tap Water,2023-09-12 12:22:43,,-156.68240186906465,20.902249435644492,,,,,,,,35.7756,,,,,,,,,,,,,,,38.878,,,,,,,,,,,16.8789,,,,,,,,,,,7.119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tap water,62.8759
9-12-CKS-2,Tap Water,2023-09-12 12:38:23,,-156.68277258099067,20.900515697648668,,,,,,,,31.6132,,,,,,,,,,,,,,,37.0073,,,,,,,,,,,14.7643,,,,,,,,,,,5.1457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tap water,56.9173
9-12-CKS-3,Tap Water,2023-09-12 12:59:02,,-156.68505312598876,20.902004495283403,,,,,,,,17.3274,,,,,,,,,,,,,,,34.6152,,,,,,,,,,,13.5636,,,,,,,,,,,4.6346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tap water,52.8134
9-12-CKS-4,Tap Water,2023-09-12 13:10:00,,-156.6809136323028,20.902548560575223,,,,,,,,31.4515,,,,,,,,,,,,,,,28.3397,,,,,,,,,,,12.0447,,,,,,,,,,,6.5497,,,,,,,,3.6203,,,,,,,,,,,,,,,,,,,,,,,,,,tap water,50.5544
09-12-KDP-1,Tap Water,2023-09-12 13:02:37,,-156.32356548927658,20.79034792735182,,,,,,,,22.0753,,,,,,,,,,,,,,,15.7895,,,,,,,,,,,5.6799,,,,,,,,,,,3.2107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tap water,24.6801
09-12-KDP-2,Tap Water,2023-09-12 13:42:04,,-156.32005306781016,20.789868189665437,,,,,,,,12.1531,,,,,,,,,,,,,,,11.0503,,,,,,,,,,,5.9102,,,,,,,,,,,3.9291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tap water,20.8896
09-12-KDP-3,Tap Water,2023-09-12 13:47:00,,-156.32191105888018,20.791869474086493,,,,,,,,12.9927,,,,,,,,,,,,,,,14.7275,,,,,,,,,,,6.7532,,,,,,,,,,,4.2314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tap water,25.7121
9-14-CKS-1,Tap Water,2023-09-14 12:02:04,,-156.68423301063237,20.882946890832383,,,,,,,,56.2841,,,,,,,,,,,,,,,21.0227,,,,,,,,,,,12.8865,,,,,,,,,,,7.818,,,,,,,,2.0104,,,,,,,,,,,,,,,,,,,,,,,,,,tap water,43.7376
9-14-CKS-2,Tap Water,2023-09-14 12:29:35,,-156.6632429876395,20.885692922467705,,,,,,,,49.9909,,,,,,,,,,,,,,,8.1223,,,,,,,,,,,6.0837,,,,,,,,,,,3.681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tap water,17.887
9-14-CKS-3,Tap Water,2023-09-14 13:07:19,,-156.68854671355408,20.90276405779635,,,,,,,,10.8452,,,,,,,,,,,,,,,20.8773,,,,,,,,,,,12.128,,,,,,,,,,,14.7821,,,,,,,,26.4982,,,,,,,,,,,,,,,,,,,,,,,,,,tap water,74.2856
9-14-CKS-4,Tap Water,2023-09-14 13:21:08,,-156.6825132726532,20.902460738491246,,,,,,,,77.3711,,,,,,,,,,,,,,,44.1945,,,,,,,,,,,19.3194,,,,,,,,,,,10.595,,,,,,,,3.8466,,,,,,,,,,,,,,,,,,,,,,,,,,tap water,77.9555
9-14-CKS-5,Tap Water,2023-09-14 14:23:41,,-156.68242176255436,20.899369265787453,,,,,,,,26.4427,,,,,,,,,,,,,,,24.7314,,,,,,,,,,,13.8276,,,,,,,,,,,11.9015,,,,,,,,9.065,,,,,,,,,,,,,,,,,,,,,,,,,,tap water,59.5255
09-14-CKS-6,Tap Water,2023-09-14 14:55:41,,-156.68447200452812,20.900024272374772,,,,,,,,19.492,,,,,,,,,,,,,,,30.8509,,,,,,,,,,,16.2542,,,,,,,,,,,9.631,,,,,,,,3.7042,,,,,,,,,,,,,,,,,,,,,,,,,,tap water,60.4403
09-14-JJ-1,Tap Water,2023-09-14 15:56:51,,-156.3239479583725,20.81442520595458,,,,,,,,9.9644,,,,,,,,,,,,,,,17.3102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tap water,17.3102
09-14-JJ-2,Tap Water,2023-09-14 15:59:40,,-156.32411391674663,20.78530436203953,,,,,,,,44.1191,,,,,,,,,,,,,,,14.9611,,,,,,,,,,,4.5294,,,,,,,,,,,2.0589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tap water,21.5494
9-14-CKS-8,Tap Water,2023-09-14 16:44:32,,-156.68515972175751,20.901539964823385,,,,,,,,35.0683,,,,,,,,,,,,,,,26.6203,,,,,,,,,,,15.8895,,,,,,,,,,,13.0527,,,,,,,,9.4304,,,,,,,,,,,,,,,,,,,,,,,,,,tap water,64.99289999999999
09-14-JJ-3,Tap Water,2023-09-14 17:26:42,,-156.32502134380405,20.78876901470376,,,,,,,,61.4747,,,,,,,,,,,,,,,7.6791,,,,,,,,,,,3.2612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tap water,10.9403
09-14-KDP-1,Tap Water,2023-09-15 11:58:19,,-156.33640746826225,20.752220455376147,,,,,,,,14.7998,,,,,,,,,,,,,,,7.9832,,,,,,,,,,,5.5203,,,,,,,,,,,4.0771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tap water,17.5806
09-14-KDP-2,Tap Water,2023-09-15 12:15:36,,-156.3365402804725,20.753234424652646,,,,,,,,9.2055,,,,,,,,,,,,,,,28.663,,,,,,,,,,,4.2163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tap water,32.8793
09-14-KDP-3,Tap Water,2023-09-15 12:43:11,,-156.33291215327904,20.753171031259036,,,,,,,,9.7513,,,,,,,,,,,,,,2.8817,7.4954,,,,,,,,,,,2.1452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tap water,9.6406
09-14-KDP-4,Tap Water,2023-09-15 12:55:05,,-156.328535287767,20.748499775504065,,,,,,,,10.5962,,,,,,,,,,,,,,,6.5544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tap water,6.5544
09-14-KDP-5,Tap Water,2023-09-15 13:00:00,,,,,,,,,,,5.1135,,,,,,,,,,,,,,,38.2884,,,,,,,,,,,9.7821,,,,,,,,,,,4.8183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tap water,52.8888
09-18-KDP-1,Tap Water,,,-156.30889760306482,20.77817928355249,,,,,,,,15.5967,,,,,,,,,,,,,,,27.6707,,,,,,,,,,,7.4033,,,,,,,,,,,3.0427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tap water,38.1167
09-19-KDP-1,Tap Water,2023-09-19 12:25:08,,-156.3291603319116,20.755718509312352,,,,,,,,9.1831,,,,,,,,,,,,,,109.8697,71.403,,,,,,,,,,,6.9835,,,,,,,,,,,2.2088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tap water,80.59530000000001
09-19-KDP-3,Tap Water,2023-09-19 13:33:04,,-156.306727272376,20.77798278329246,,,,,,,,11.6492,,,,,,,,,,,,,,,12.1458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tap water,12.1458
09-22-KDP-3,Tap Water,2023-09-22 14:05:40,,-156.3303748599226,20.73903687160969,,,,,,,,17.6695,,,,,,,,,,,,,,,14.7691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tap water,14.7691
09-22-KDP-4,Tap Water,2023-09-22 14:47:39,,-156.30267427678294,20.75738345018076,,,,,,,,,,,,,,,,,,,,,,,11.9323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tap water,11.9323
09-22-KDP-5,Tap Water,2023-09-22 14:49:46,,-156.30995005978164,20.77715294761833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0653,,,,,,,,,,,4.6744,,,,,,,,7.3138,,,,,,,,,,,,,,,,,,,,,,,,,,tap water,14.0535
09-22-KDP-1,Tap Water,2023-09-22 14:50:58,,-156.30759529479062,20.77562072812548,,,,,,,,6.4024,,,,,,,,,,,,,,11.3352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tap water,0.0
09-22-KDP-6,Tap Water,2023-09-22 15:10:57,,-156.30587063355858,20.758415719247857,,,,,,,,13.2604,,,,,,,,,,,,,,,3.1988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tap water,3.1988
