,Peak,HolmesTap,1,2,7,8,10,12
0,Chloromethane (methyl chloride),n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
1,Chloroethene (vinyl chloride),,,,,,,
2,Bromomethane (methyl bromide),0.138,0.182,0.182,n.a.,0.244,0.248,0.234
3,Chloroethane (ethyl chloride),n.a.,0.039,n.a.,0.041,n.a.,0.156,n.a.
4,Trichlorofluoromethane,0.007,0.001,n.a.,n.a.,n.a.,n.a.,n.a.
5,Diethyl ether,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
6,"1,1-Dichloroethene",0.01,n.a.,n.a.,n.a.,n.a.,0.002,n.a.
7,Acetone,1.676,1.27,1.824,17.367,1.968,2.04,3.027
8,Iodomethane,0.214,0.118,0.136,0.17,0.13,0.062,0.155
9,Carbon disulfide,0.446,3.499,0.188,3.145,0.174,0.123,0.245
10,3-Chloropropene (allyl chloride),n.a.,n.a.,0.025,n.a.,n.a.,0.053,n.a.
11,Methylene chloride,6.066,2.782,2.815,2.778,2.821,2.74,2.827
12,"trans-1,2-Dichloroethene",0.06,0.003,0.007,0.02,0.003,0.004,0.006
13,Acrylonitrile,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
14,Methyl tert-butyl ether (MTBE),,,,,,,
15,"1,1-Dichloroethane",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
16,"2,2-Dichloropropane",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
17,"cis-1,2-Dichloroethene",0.026,n.a.,n.a.,n.a.,n.a.,n.a.,0.002
18,2-Butanone (MEK),n.a.,n.a.,n.a.,14.842,1.147,0.41,0.117
19,Propionitrile (ethylcyanide),n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
20,Methyl acrylate,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
21,Bromochloromethane,0.007,n.a.,n.a.,0.088,n.a.,n.a.,n.a.
22,Tetrahydrofuran,n.a.,n.a.,n.a.,194.634,3.004,0.486,0.057
23,Methacrylonitrile,,,,,,,
24,Trichloromethane (chloroform),0.012,0.032,12.956,2.209,17.53,28.868,0.645
25,"1,1,1-Trichloroethane",n.a.,0.001,n.a.,n.a.,n.a.,n.a.,n.a.
26,Dibromofluoromethane (SS1),15.218,15.093,15.198,14.751,15.325,15.052,14.536
27,IS1 Pentafluorobenzene,10,10,10,10,10,10,10
28,Carbon tetrachloride,,,,,,,
29,1-Chlorobutane (butyl chloride),0.137,0.11,0.116,0.122,0.116,0.129,0.112
30,"1,1-Dichloropropene",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
31,Benzene,0.047,0.026,0.075,0.036,0.052,0.02,0.029
32,"1,2-Dichloroethane",0.021,0.003,0.004,0.008,0.004,0.002,n.a.
33,"IS2 1,4-Difluorobenzene",10,10,10,10,10,10,10
34,Trichloroethene,0.035,0.002,0.003,0.012,0.002,0.002,0.004
35,"1,2-Dichloropropane",0.009,0.013,n.a.,n.a.,n.a.,n.a.,n.a.
36,Dibromomethane,,,,,,,
37,Methyl methacrylate,,,,,,,
38,Bromodichloromethane,0.026,0.009,5.961,0.466,7.944,8.54,0.906
39,2-Nitropropane,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
40,Chloroacetonitrile,n.a.,n.a.,0.395,n.a.,0.327,0.181,n.a.
41,"cis-1,3-Dichloropropene",0.04,n.a.,0.002,n.a.,n.a.,n.a.,n.a.
42,4-Methyl-2-pentanone (MIBK),,,,,,,
43,Toluene-d8 (SS2),9.766,9.644,9.734,9.643,9.701,9.964,9.684
44,Toluene,0.04,0.341,0.027,0.031,0.029,0.018,0.017
45,"trans-1,3-Dichloropropene",0.061,n.a.,0.006,0.019,n.a.,n.a.,0.009
46,Ethyl methacrylate,,,,,,,
47,"1,1,2-Trichloroethane",0.016,n.a.,0.009,0.008,n.a.,n.a.,n.a.
48,Tetrachloroethene,0.041,0.002,0.003,0.013,0.005,0.006,0.007
49,"1,3-Dichloropropane",0.021,n.a.,n.a.,0.005,n.a.,n.a.,n.a.
50,2-Hexanone,0.019,n.a.,n.a.,n.a.,n.a.,0.021,n.a.
51,Dibromochloromethane,0.105,0.003,3.342,0.177,4.235,3.98,1.305
52,"1,2-Dibromoethane (EDB)",0.039,n.a.,0.005,0.008,n.a.,n.a.,0.005
53,IS3 Chlorobenzene-d5,10,10,10,10,10,10,10
54,Chlorobenzene,0.049,0.005,0.003,0.016,0.005,0.002,0.008
55,"1,1,1,2-Tetrachloroethane",0.014,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
56,Ethylbenzene,0.049,0.106,0.012,0.014,0.027,0.009,0.009
57,m/p-Xylene,0.054,0.065,0.013,0.019,0.021,0.014,0.013
58,o-Xylene,0.037,0.059,0.012,0.011,0.022,0.013,0.01
59,Styrene,0.064,0.182,0.013,0.022,0.011,0.01,0.014
60,Bromoform,1.174,0.002,0.481,0.068,0.611,0.583,0.852
61,Isopropylbenzene (cumene),,,,,,,
62,"1-Bromo-4-fluorobenzene (BFB,SS3)",11.201,10.589,10.831,10.987,10.811,10.975,11.114
63,Bromobenzene,0.073,n.a.,n.a.,0.022,n.a.,n.a.,n.a.
64,"1,1,2,2-Tetrachloroethane",0.023,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
65,"1,2,3-Trichloropropane (TCP)",0.038,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
66,"trans-1,4-Dichloro-2-butene",0.046,n.a.,n.a.,0.009,n.a.,n.a.,n.a.
67,n-Propylbenzene,0.088,0.009,n.a.,0.025,0.015,0.006,0.01
68,2-Chlorotoluene,0.067,n.a.,n.a.,0.011,n.a.,n.a.,0.007
69,"1,3,5-Trimethylbenzene",0.059,0.005,0.008,0.017,0.009,0.006,0.01
70,4-Chlorotoluene,0.087,0.004,0.008,0.025,0.004,n.a.,0.014
71,tert-Butylbenzene,0.04,n.a.,n.a.,0.007,n.a.,n.a.,0.003
72,Pentachloroethane,0.005,n.a.,n.a.,n.a.,n.a.,n.a.,0.002
73,"1,2,4-Trimethylbenzene",0.092,0.024,0.025,0.035,0.03,0.027,0.027
74,1-Methylpropylbenzene (sec-butylbenzene),0.078,n.a.,0.004,0.017,0.002,0.001,0.007
75,"1,3-Dichlorobenzene",0.109,0.005,0.01,0.034,0.011,0.007,0.017
76,4-Isopropyltoluene (p-cymene),,,,,,,
77,"IS4 1,4-Dichlorobenzene-d4",10,10,10,10,10,10,10
78,"1,4-Dichlorobenzene",0.135,0.009,0.012,0.039,0.01,0.008,0.022
79,"1,2-Dichlorobenzene",0.107,0.01,0.018,0.038,0.016,0.01,0.024
80,n-Butylbenzene,0.139,0.005,0.012,0.04,0.013,0.008,0.019
81,Hexachloroethane,0.04,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
82,"1,2-Dibromo-3-chloropropane (DBCP)",0.067,n.a.,n.a.,n.a.,n.a.,0.005,n.a.
83,Nitrobenzene,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
84,"1,2,4-Trichlorobenzene",0.269,0.011,0.025,0.072,0.018,0.013,0.041
85,"Hexachloro-1,3-butadiene",0.188,0.004,0.008,0.046,0.006,0.005,0.023
86,Naphthalene,0.249,0.012,0.02,0.054,0.021,0.032,0.093
87,"1,2,3-Trichlorobenzene",0.388,n.a.,0.025,0.082,0.022,n.a.,0.049
